"age","grid","lichen richness","...4","...5","lichen species"
1922,60,32,3,NA,"8,17"
1937,60,141,4,NA,"8,2,17,26®"
1947,60,41,4,NA,"31,2,8"
1898,6,330,3,NA,"26,8"
1918,6,215,1,NA,"8"
1987,6,35,2,NA,"8,34"
1966,10,200,3,NA,"18,21,12"
1959,10,119,2,NA,"2,21"
1923,10,30,2,NA,"8,17"
1955,59,27,1,NA,"14"
1922,59,19,2,NA,"2,26(L)"
1936,59,304,3,NA,"2,8,31"
1947,25,110,2,NA,"11,26®"
1952,25,300,2,NA,"8"
1922,25,124,1,NA,"26"
1958,53,215,2,NA,"2,14"
1952,53,248,2,NA,"11"
1987,53,226,1,NA,NA
1926,20,232,1,NA,NA
1904,20,210,1,NA,NA
1946,20,45,1,NA,NA
1933,26,310,3,NA,"22,8,26®"
1971,26,215,4,NA,"23,3,8,26®"
1987,26,130,2,NA,"24,1,2"
1937,31,354,1,NA,"25,8"
1966,31,35,2,NA,"2"
1893,31,93,1,NA,"14"
1956,37,213,1,NA,"2"
1978,37,213,2,NA,"8,26®"
1931,37,125,1,NA,"9"
1916,24,131,3,NA,"7,8"
1914,24,6,2,NA,"8,2"
1949,24,202,2,NA,"31"
2009,19,170,2,NA,"2,26"
1947,19,336,1,NA,"2,26"
1936,19,26,2,NA,"2"
1922,26,33,2,NA,NA
